%	Date:	2006-06-01	Time:	01:16:04
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.89200
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
5.5368E+3	2.4884E+1	-1.0110E+0	-7.1502E+1	-7.1920E+1	-8.3467E+1	-8.7101E+1	-1.0390E+2
5.7641E+3	2.4884E+1	-1.0547E+0	-7.1523E+1	-7.1970E+1	-8.3196E+1	-8.6893E+1	-1.0245E+2
6.0007E+3	2.4884E+1	-1.1001E+0	-7.1507E+1	-7.1961E+1	-8.2988E+1	-8.7144E+1	-1.0221E+2
6.2471E+3	2.4883E+1	-1.1472E+0	-7.1540E+1	-7.2010E+1	-8.2900E+1	-8.6945E+1	-1.0284E+2
6.5035E+3	2.4883E+1	-1.1962E+0	-7.1506E+1	-7.1992E+1	-8.2615E+1	-8.7065E+1	-1.0291E+2
6.7705E+3	2.4883E+1	-1.2471E+0	-7.1490E+1	-7.2005E+1	-8.2291E+1	-8.7031E+1	-1.0260E+2
7.0485E+3	2.4883E+1	-1.3000E+0	-7.1512E+1	-7.2043E+1	-8.2078E+1	-8.7252E+1	-1.0284E+2
7.3378E+3	2.4882E+1	-1.3551E+0	-7.1512E+1	-7.2073E+1	-8.1916E+1	-8.6870E+1	-1.0266E+2
7.6391E+3	2.4882E+1	-1.4122E+0	-7.1463E+1	-7.2049E+1	-8.1569E+1	-8.7028E+1	-1.0184E+2
7.9527E+3	2.4882E+1	-1.4717E+0	-7.1466E+1	-7.2091E+1	-8.1178E+1	-8.7281E+1	-1.0205E+2
8.2792E+3	2.4882E+1	-1.5336E+0	-7.1480E+1	-7.2156E+1	-8.0825E+1	-8.7146E+1	-1.0277E+2
8.6190E+3	2.4881E+1	-1.5980E+0	-7.1419E+1	-7.2135E+1	-8.0479E+1	-8.7122E+1	-1.0111E+2
8.9729E+3	2.4881E+1	-1.6650E+0	-7.1381E+1	-7.2160E+1	-8.0005E+1	-8.7266E+1	-1.0100E+2
